num_client;recence;frequence;montant;seg_recence;seg_frequence;seg_montant
ID_199767;2;2;230.99;R3;F2;M3
ID_199977;6;3;200.82666667;R2;F2;M3
ID_200473;1;4;67.0725;R3;F3;M2
ID_200577;12;2;254;R1;F2;M3
ID_200700;7;2;108.445;R1;F2;M3
ID_200711;1;4;62;R3;F3;M2
ID_200746;11;2;21;R1;F2;M1
ID_200805;11;1;329.99;R1;F1;M3
ID_200809;1;1;96.8;R3;F1;M2
ID_201301;11;3;66.246666667;R1;F2;M2
ID_201579;2;2;33.995;R3;F2;M1
ID_201689;2;1;16.49;R3;F1;M1
ID_201815;1;1;217.1;R3;F1;M3
ID_20226;2;2;123.49;R3;F2;M3
